review_text,rating,thumbs_up_count,app_version,source
groww has added a lot of new feature/s in the application recently. now add basket order option so i don't have to use different app (like 915).,4,1,18.14.1,google_play
just downloaded it it's not even working uninstalling this app right away,1,1,18.13.2,google_play
easy interface and great investment platform for beginners.,5,0,18.14.2,google_play
scam <URL>ey charged 1500 rs more for only brokerage charges for just <URL>d doesn't mention charges fully on statement they hide,1,0,,google_play
pathetic customer service. i exit one trade today at 3:05 pm that trade is showing again in buy order even though not initiated by me seems to be an system error and amount got debited for the same. no reply from support till yet,1,2,18.14.1,google_play
not work properly when u needed eagerly n in the middle of trade.,2,0,18.14.1,google_play
"there is no support to egr, can u guys add them?",3,0,18.14.1,google_play
"if you set the brokerage at ₹10 per lot, your business will grow even more.",3,0,18.14.1,google_play
the application interface is very intuitive and great. try increasing font size though. also can you please make it easier to switch between two demat accounts without having to logout and then entering credentials manually each time if email account is other than gmail ?,5,3,18.14.1,google_play
my relatives not getting dividend since last year after eligibility. she contacted but not resolved by them,1,0,18.13.2,google_play
i am learning on it and its very nice very easy. and much profitable.,5,0,18.13.2,google_play
upi request already approved but status not updated in app poor service app lot's of bug,1,2,18.14.1,google_play
no proper service and no accountability with team.,1,1,18.14.1,google_play
when you buy a share it is buying of your selected rate. but when you want to sell your it is sold less than your selected rate.due to this and also added brokarage+ tax+gst+external charge you never earn money as you expect.,1,1,18.14.1,google_play
grow application very froudly company know investing any customer your investment money always lossing grow platform,1,1,18.14.1,google_play
"the stop-loss gets triggered unpredictably. sometimes it hits even before the price reaches the stop-loss level, and other times it triggers only after the price has moved well beyond the stop-loss. in both cases, traders end up facing unnecessary losses. this is a very poor application. i would request everyone not to use it.",1,1,18.14.1,google_play
i'm using last 10 years <URL>mply understand and operating,5,1,18.14.1,google_play
so simple that any rookie can start investing,5,1,18.13.2,google_play
why percentage change is not showing in stock,1,0,18.14.1,google_play
"outdated data alert!wrong dividend yield displayedgroww is showing backdated & misleading financial data post corporate actions. for example, angel one underwent a 10:1 stock split, making its actual dividend yield ~1.38%. but groww still shows a wrong yield of 8%!such unadjusted, old data can lead to wrong financial decisions for retail investors. other apps update data instantly. groww team, fix your backend data sync immediately! retailers, please double-check data on __<PERSON>__ before investing",1,3,18.14.1,google_play
very bad experience for a user because they suddenly decrease the mtf margin as per their wish without intimation to traders more charges for mtf and even long term trades as well very disappointing...,1,1,18.14.1,google_play
after a new update ! the first candle shows opposite colour of the direction! on every timeframe which is confusing the direction and trade plans . planning to switch trading app !,2,0,18.14.1,google_play
"this is totally bug now evertime i open it started hang i,m am facing bad experience now please fix your techinal issues",2,1,18.14.1,google_play
"app doesn't stay active in the background even after giving unrestricted battery usage , always goes to lock screen after latest updates... problem for options traders",1,1,18.14.1,google_play
best and easiest app for entire investment portfolio.,4,1,18.13.2,google_play
i'm using past one year groww is really great application compares with others stock application,5,0,18.14.1,google_play
very slow service we are open option chain till price is over,2,0,18.14.1,google_play
your app not responding made me lose money.,1,3,18.14.1,google_play
all apps have low charges but groww more charges you also charge less please,1,1,18.14.1,google_play
"bond name: akara capital advisors private limited (jan'27) investment date: 08 may 2026 invested amount: ₹6,100.03 (1 unit) according to my payout schedule, the total returns (principal + interest) i will receive amount to only ₹3,967.08, whereas my invested amount was ₹6,100.03. this shows a massive shortfall/loss, and i was not clearly informed about this secondary market pricing structure at the time of purchase. please review this transaction, explain the reason behind this heavy variance, a",1,3,18.14.1,google_play
"all ok, also i need it on my laptop but there's a privacy problem",5,0,18.14.0,google_play
very easy to navigate app and seen that many news things is coming just like heatmap that's awesome. i am looking for more improvement on it.,5,0,18.14.1,google_play
why it's asking 50rs. for mail account update,1,0,,google_play
"best and simplest app for investment! the user interface is very clean and easy to understand. there is no complicated financial language, which makes it perfect for common people. anyone can start investing in mutual funds or stocks without any confusion. highly recommended",5,4,18.13.2,google_play
bad experience with customer service no response poor service,1,0,18.14.1,google_play
experience is average! not very much good. app is user friendly! but good bye for now just because of new rule cas <PHONE_NUMBER>. totally worthless for the retailer like me. thanks to sebi and i quit indian market and going to uninstall groww. thanks,3,0,18.14.1,google_play
nice app very good download any any people,5,0,18.12.1,google_play
i want an old update one.. this new update not good,5,0,,google_play
it is best for beginners believe me it has a better ui and clean setup,5,0,18.14.1,google_play
it is a very good platform for investing.,5,1,18.14.1,google_play
"some sips for the month of aug have been failed, rest one of the best app.",5,1,18.13.2,google_play
"charges are high, but it's a good app.",5,0,18.14.1,google_play
they are say less brokerage charge more very bad experience and also when you sell your stock at market they your stock at less price . it's much better i give year subscription fees to zerodha. they atlest to not charge unnecessary. i donot know what kind of external charges and tax they are taking,1,3,18.14.1,google_play
"the groww app lacks easy interface features for those bidding for ofs shares. there is no way you can find out your allotment status. the faqs are useless. though there are other good features, this is a major drawback. the order history and chatbot are also clueless in this regard, though customer care confirm successful ofs bidding. complete waste of time.",1,3,18.14.1,google_play
my information is shared without my consent to open market i am getting random calls from 3rd party brokers platforms. i never gave any consent to share me information. the day i opened groww app i get calls from open market. please check on this.,1,18,18.14.1,google_play
best application for investing stocks and mutual fund,5,0,18.7.1,google_play
after updating lots of anomaly. when we buy option it does not appear in position directly. limit order buy and target gets failed or execute at different level,3,2,18.14.1,google_play
bad app .. fraud app dont download app.. 1 tap exit me seedha 10 point kams <PERSON><URL>art <URL>nupulate karte hae.. they will automatically reduce your buying price and make huge loss in next day.. i don't know how they did it with retailers... i have facing many losses due to app glitch issue.. they don't give me any refund.. so i deleted this app... worst experience.. they vanish my 1 lakh rupees although i have screenshot of my payment but they didn't gave me refund..,1,204,18.14.1,google_play
order process is too much delay that's why i rated 3 star,3,1,18.13.2,google_play
import of external funds not working properly. it's pop-up to mfcentral and sends an otp option then no otp will be received at the registered mobile. kindly look into issue,1,3,18.14.1,google_play
lic ofs shares did not get credited even though applied before 2 pm and account had that much money,1,1,18.14.1,google_play
plz compare yourself with zerodha. <PERSON> doesn't charge on equity. and your charges are slightly high.,4,1,18.14.1,google_play
app install but now able to continue always scrolling,1,0,,google_play
withdrawal unsuccessful trying to get connect with an expert since last 24 hours no any response received from groww worst service ever i just want my money back as early as possible then i am going to uninstall this app,1,1,18.14.1,google_play
best combo demat plateform. using groww since 2018. but slight improvement is required in indicators,5,0,18.14.1,google_play
"when i updated the app to version 18.14.1, the most important feature of scalper mode disappered and i am not able to do scalping from the new version now. what type of update is this ?? please make the ""scalper mode"" available again",3,2,18.14.1,google_play
day 25.worst app doesn't have proper solution despite email for grievance on pledge <URL>ver ever pledge your holding in groww. your grievance and support team is full <URL> compensation being given only delay charges waving offered,1,3,18.14.1,google_play
"aware hidden charges, very high commission. in a equity trading 10-20rs for each buying. if you are planning to invest daily you will be charged 7000inr annually for single stock. but i have been using this app since 2022 but now i am realising. i never use this app again.",1,2,18.14.1,google_play
excellent app! very easy to use with a clean interface investing is simple and smooth the only improvement i would suggest is making the app a bit faster especially while loading the portfolio overall a fantastic experience highly recommended! ⭐⭐⭐⭐⭐,5,2,18.14.1,google_play
after update and connecting to my pc. i can't find scalper mode in my phone app. please solve this or i permanently close my demat account from groww,5,3,18.14.1,google_play
groww is becoming the worst day by day. my hdfc dividend did not come in the bank and my bond payment did not come. the support team is not always answering. i've been using groww for a long time but now it's performing worst day by day and increasing its charges. <PERSON> is better option,1,0,17.78,google_play
brokareg charges very toomuch iam earn 800rupes brokareg charges 470 rupes,1,0,18.14.1,google_play
"after update groww , i am unable to find one tap scalper mode",5,0,18.14.1,google_play
groww minimum dilevery buying selling charge every in 100 rupees very high charges produced.,1,0,17.90,google_play
userinterface is really <URL>ry nice any chance understand easily especially biggers but charges are very costly,4,2,18.10.1,google_play
"you people are leaking our data, many companies calling me and telling me that they will give me advise to trading... 4-5 calls a day...",1,1,18.14.1,google_play
"in the ""compare funds"" section, can you also add overlap info",3,9,18.14.1,google_play
